gene_id,X116_con_1,X116_con_2,X116_con_3,X116_si_1,X116_si_2,X116_si_3
ENSG00000207420|Y_RNA,0,0,0,0,0,0
ENSG00000178107|RP11-998D10.4,0,16,5,0,0,9
ENSG00000202233|U3,0,0,0,0,0,0
ENSG00000102547|CAB39L,679,504,510,620,621,459
ENSG00000173826|KCNH6,12,0,4,0,3,0
ENSG00000103966|EHD4,8133,8325,8289,8324,8599,8780
ENSG00000277509|RP11-944L7.6,0,0,0,0,0,0
ENSG00000238509|RNU6-104P,0,0,0,0,0,0
ENSG00000201282|Y_RNA,0,0,0,0,0,1
ENSG00000261863|RP11-141J13.5,0,0,0,0,4,0
ENSG00000239580|RN7SL675P,0,0,0,0,0,0
ENSG00000100478|AP4S1,339,345,311,248,273,272
ENSG00000272536|RN7SL840P,0,2,6,0,0,0
ENSG00000181733|OR2Z1,0,0,0,0,0,0
ENSG00000263567|RP11-805L22.3,4,1,0,0,0,0
ENSG00000107643|MAPK8,4546,4081,4737,3640,4035,3817
ENSG00000125971|DYNLRB1,4822,5453,5227,4369,4358,5452
ENSG00000103479|RBL2,3382,3168,3374,3414,2996,2772
ENSG00000231630|RP11-740P5.3,0,0,0,0,0,0
ENSG00000145041|DCAF1,6726,6317,6949,6405,5965,5935
ENSG00000269266|DNAJC19P2,0,0,0,0,0,0
ENSG00000047579|DTNBP1,1163,1251,1072,956,897,1138
ENSG00000148357|HMCN2,14,6,11,15,19,8
ENSG00000261044|AP006547.3,4,0,0,0,0,0
ENSG00000213174|RP11-373E16.1,0,0,0,0,0,0
ENSG00000249380|RP11-1325J9.1,0,0,0,4,0,0
ENSG00000144840|RABL3,2484,2531,2558,2924,2885,2355
ENSG00000242330|RN7SL683P,0,0,0,0,0,0
ENSG00000264247|LINC00909,530,572,586,633,582,570
ENSG00000231233|CFAP58-AS1,20,10,12,16,21,7
ENSG00000259427|DPPA5P2,0,0,0,0,0,0
ENSG00000249436|CTD-2023N9.3,0,0,0,0,0,0
ENSG00000167080|B4GALNT2,0,0,0,0,0,0
ENSG00000094796|KRT31,0,0,0,0,0,0
ENSG00000236390|RP11-25B7.1,0,0,0,0,6,0
ENSG00000249894|RP11-434D9.2,0,0,0,0,0,0
ENSG00000232594|AC103563.3,0,0,0,0,0,0
ENSG00000234354|RPS26P47,32,37,33,33,36,38
ENSG00000199516|Y_RNA,0,0,0,0,0,0
ENSG00000122872|ARL4AP1,0,0,0,0,0,0
ENSG00000260942|CAPN10-AS1,160,130,142,150,136,134
ENSG00000200394|SNORA38B,7,5,3,5,7,3
ENSG00000164609|SLU7,3709,4088,4088,7598,7520,7354
ENSG00000206262|FOXL2NB,33,16,18,28,18,21
ENSG00000003756|RBM5,2899,2923,2961,3998,3885,3555
ENSG00000101448|EPPIN,0,0,0,0,0,5
ENSG00000186007|LEMD1,122,141,127,69,122,117
ENSG00000222337|RN7SKP225,0,0,0,0,0,0
ENSG00000197894|ADH5,11478,11824,9901,10330,11679,10958
ENSG00000161847|RAVER1,4821,3407,7495,4138,3000,5583
ENSG00000254389|RHPN1-AS1,108,58,115,99,99,168
ENSG00000112237|CCNC,9281,9613,5403,4742,3806,7678
ENSG00000259443|RP11-403B2.5,0,0,0,0,0,0
ENSG00000222895|RNU6-1133P,0,0,0,0,0,0
ENSG00000211790|TRAV8-4,0,0,0,0,0,0
ENSG00000212618|snoMBII-202,0,0,0,0,0,0
ENSG00000207202|RNU6-800P,0,0,0,0,0,0
ENSG00000132952|USPL1,3352,3220,3473,5643,5369,4739
ENSG00000259769|RP11-1360M22.2,0,0,0,0,0,0
ENSG00000182534|MXRA7,7135,7472,7083,6503,5875,5791
ENSG00000115295|CLIP4,2621,1593,2597,2233,2193,2057
ENSG00000221275|MIR548I2,0,1,0,0,0,0
ENSG00000064393|HIPK2,11221,9949,10965,6903,6923,6731
ENSG00000230960|RP5-1086L22.1,0,0,0,0,0,0
ENSG00000103257|SLC7A5,33500,35085,32780,30960,31147,34140
ENSG00000169313|P2RY12,38,17,24,32,11,28
ENSG00000254319|RP11-134O21.1,0,0,0,0,0,0
ENSG00000255318|RP11-655M14.13,18,17,14,5,0,0
